"","strain","glc","vol","interact"
"1",NA,"(-)",47.7828012352941,NA
"2",NA,"(-)",50.2234285369775,NA
"3",NA,"(-)",59.9789191725664,NA
"4",NA,"(-)",46.0943666542373,NA
"5",NA,"(+)",331.662613748344,NA
"6",NA,"(+)",355.837721959184,NA
"7",NA,"(+)",373.170279069767,NA
"8",NA,"(+)",345.251313123967,NA
"9","hxk1-1","(-)",44.593824,"hxk1-1.(-)"
"10","hxk1-1","(-)",41.6219145,"hxk1-1.(-)"
"11","hxk1-1","(-)",38.785068,"hxk1-1.(-)"
"12","hxk1-1","(-)",41.6219145,"hxk1-1.(-)"
"13","hxk1-1","(+)",284.504314434783,"hxk1-1.(+)"
"14","hxk1-1","(+)",289.769504659091,"hxk1-1.(+)"
"15","hxk1-1","(+)",294.765937744898,"hxk1-1.(+)"
"16","hxk1-1","(+)",284.504314434783,"hxk1-1.(+)"
"17","hxk1-2","(-)",44.593824,"hxk1-2.(-)"
"18","hxk1-2","(-)",47.7039375,"hxk1-2.(-)"
"19","hxk1-2","(-)",44.593824,"hxk1-2.(-)"
"20","hxk1-2","(-)",44.593824,"hxk1-2.(-)"
"21","hxk1-2","(+)",176.352593322581,"hxk1-2.(+)"
"22","hxk1-2","(+)",153.64088277907,"hxk1-2.(+)"
"23","hxk1-2","(+)",165.756408627551,"hxk1-2.(+)"
"24","hxk1-2","(+)",163.4436102,"hxk1-2.(+)"
