"","strain","glc","total_chl"
"1","WT","(-)",6.85286454144131
"2","WT","(-)",5.77535303913102
"3","WT","(-)",5.7537104300134
"4","WT","(-)",7.50519754872991
"5","WT","(+)",0.24242548341403
"6","WT","(+)",0.208092541085074
"7","WT","(+)",0.242324030070185
"8","WT","(+)",0.259673339450532
"9","hxk1-1","(-)",10.7832663574417
"10","hxk1-1","(-)",10.4166626182668
"11","hxk1-1","(-)",9.83930123975016
"12","hxk1-1","(-)",9.25388119658112
"13","hxk1-1","(+)",2.3428694645644
"14","hxk1-1","(+)",2.17527297414464
"15","hxk1-1","(+)",2.12140034497046
"16","hxk1-1","(+)",2.14487062829619
"17","hxk1-2","(-)",7.46887527169302
"18","hxk1-2","(-)",7.57701470743681
"19","hxk1-2","(-)",6.50398081338392
"20","hxk1-2","(-)",7.37023240776636
"21","hxk1-2","(+)",2.3986855421896
"22","hxk1-2","(+)",2.58159392320906
"23","hxk1-2","(+)",2.05512631070394
"24","hxk1-2","(+)",3.64533337810763
