"","strain","glc","chl_per_cell","interact"
"1","WT","(-)",0.327449064276085,"WT.(-)"
"2","WT","(-)",0.290058030636613,"WT.(-)"
"3","WT","(-)",0.345101332824126,"WT.(-)"
"4","WT","(-)",0.345947327623639,"WT.(-)"
"5","WT","(+)",0.080403469468303,"WT.(+)"
"6","WT","(+)",0.074047175776411,"WT.(+)"
"7","WT","(+)",0.090428125926602,"WT.(+)"
"8","WT","(+)",0.089652561428582,"WT.(+)"
"9","hxk1-1","(-)",0.480867082088878,"hxk1-1.(-)"
"10","hxk1-1","(-)",0.433561440872849,"hxk1-1.(-)"
"11","hxk1-1","(-)",0.381617967656194,"hxk1-1.(-)"
"12","hxk1-1","(-)",0.385164251957257,"hxk1-1.(-)"
"13","hxk1-1","(+)",0.666556470826081,"hxk1-1.(+)"
"14","hxk1-1","(+)",0.630327772216201,"hxk1-1.(+)"
"15","hxk1-1","(+)",0.625316562017569,"hxk1-1.(+)"
"16","hxk1-1","(+)",0.61022494765471,"hxk1-1.(+)"
"17","hxk1-2","(-)",0.333065709343831,"hxk1-2.(-)"
"18","hxk1-2","(-)",0.361453436040146,"hxk1-2.(-)"
"19","hxk1-2","(-)",0.29,"hxk1-2.(-)"
"20","hxk1-2","(-)",0.329,"hxk1-2.(-)"
"21","hxk1-2","(+)",0.423,"hxk1-2.(+)"
"22","hxk1-2","(+)",0.397,"hxk1-2.(+)"
"23","hxk1-2","(+)",0.340650356538273,"hxk1-2.(+)"
"24","hxk1-2","(+)",0.595806447700472,"hxk1-2.(+)"
