"","strain","glc","O2evol","interact"
"1","wt","(-)",7.5897517880875,"wt.(-)"
"2","wt","(-)",8.39221367388086,"wt.(-)"
"3","wt","(-)",8.62646527227862,"wt.(-)"
"4","wt","(+)",-6.35722799344081,"wt.(+)"
"5","wt","(+)",-4.34146295697186,"wt.(+)"
"6","wt","(+)",-5.02019194720128,"wt.(+)"
"7","hxk1-1","(-)",11.2572909158227,"hxk1-1.(-)"
"8","hxk1-1","(-)",7.0599827886341,"hxk1-1.(-)"
"9","hxk1-1","(-)",9.91905357933499,"hxk1-1.(-)"
"10","hxk1-1","(+)",10.7263206261211,"hxk1-1.(+)"
"11","hxk1-1","(+)",11.3978418748614,"hxk1-1.(+)"
"12","hxk1-1","(+)",10.5845683768343,"hxk1-1.(+)"
"13","hxk1-2","(-)",6.44972734255172,"hxk1-2.(-)"
"14","hxk1-2","(-)",6.68758281169407,"hxk1-2.(-)"
"15","hxk1-2","(-)",7.73751048861532,"hxk1-2.(-)"
"16","hxk1-2","(+)",5.69051190569333,"hxk1-2.(+)"
"17","hxk1-2","(+)",5.95119188955136,"hxk1-2.(+)"
"18","hxk1-2","(+)",4.43155972558639,"hxk1-2.(+)"
