"","strain","bio_reps","tech_reps","treatment","target","timepoint","rxn","ct","mean_tech_rep_ct"
"1","bhxk1-1","A",1,"(-)","APPS",0.5,1,15.64307022,15.70459684
"2","bhxk1-1","A",2,"(-)","APPS",0.5,1,15.48150063,15.70459684
"3","bhxk1-1","A",3,"(-)","APPS",0.5,1,15.98921967,15.70459684
"4","bhxk1-1","B",1,"(-)","APPS",0.5,1,16.29610062,16.2582600933333
"5","bhxk1-1","B",2,"(-)","APPS",0.5,1,16.31797791,16.2582600933333
"6","bhxk1-1","B",3,"(-)","APPS",0.5,1,16.16070175,16.2582600933333
"7","bhxk1-1","C",1,"(-)","APPS",0.5,1,15.84577751,16.1900730133333
"8","bhxk1-1","C",2,"(-)","APPS",0.5,1,16.45364571,16.1900730133333
"9","bhxk1-1","C",3,"(-)","APPS",0.5,1,16.27079582,16.1900730133333
"10","bhxk1-1","A",1,"(+)","APPS",0.5,1,15.71729183,16.1228532766667
"11","bhxk1-1","A",2,"(+)","APPS",0.5,1,16.46217155,16.1228532766667
"12","bhxk1-1","A",3,"(+)","APPS",0.5,1,16.18909645,16.1228532766667
"13","bhxk1-1","B",1,"(+)","APPS",0.5,1,16.29635239,16.2986564666667
"14","bhxk1-1","B",2,"(+)","APPS",0.5,1,16.18531418,16.2986564666667
"15","bhxk1-1","B",3,"(+)","APPS",0.5,1,16.41430283,16.2986564666667
"16","bhxk1-1","C",1,"(+)","APPS",0.5,1,16.14580154,15.9212147366667
"17","bhxk1-1","C",2,"(+)","APPS",0.5,1,15.94061184,15.9212147366667
"18","bhxk1-1","C",3,"(+)","APPS",0.5,1,15.67723083,15.9212147366667
"19","bhxk1-1","A",1,"(-)","HXK1",0.5,1,18.84255409,18.7152417466667
"20","bhxk1-1","A",2,"(-)","HXK1",0.5,1,18.47229385,18.7152417466667
"21","bhxk1-1","A",3,"(-)","HXK1",0.5,1,18.8308773,18.7152417466667
"22","bhxk1-1","B",1,"(-)","HXK1",0.5,1,19.16612816,19.17186737
"23","bhxk1-1","B",2,"(-)","HXK1",0.5,1,19.1928215,19.17186737
"24","bhxk1-1","B",3,"(-)","HXK1",0.5,1,19.15665245,19.17186737
"25","bhxk1-1","C",1,"(-)","HXK1",0.5,1,19.98146248,20.1452922833333
"26","bhxk1-1","C",2,"(-)","HXK1",0.5,1,20.18011856,20.1452922833333
"27","bhxk1-1","C",3,"(-)","HXK1",0.5,1,20.27429581,20.1452922833333
"28","bhxk1-1","A",1,"(+)","HXK1",0.5,1,17.71921921,17.7105890933333
"29","bhxk1-1","A",2,"(+)","HXK1",0.5,1,17.55107689,17.7105890933333
"30","bhxk1-1","A",3,"(+)","HXK1",0.5,1,17.86147118,17.7105890933333
"31","bhxk1-1","B",1,"(+)","HXK1",0.5,1,17.84133148,17.79206721
"32","bhxk1-1","B",2,"(+)","HXK1",0.5,1,17.79869461,17.79206721
"33","bhxk1-1","B",3,"(+)","HXK1",0.5,1,17.73617554,17.79206721
"34","bhxk1-1","C",1,"(+)","HXK1",0.5,1,18.54884911,18.4800281533333
"35","bhxk1-1","C",2,"(+)","HXK1",0.5,1,18.54944992,18.4800281533333
"36","bhxk1-1","C",3,"(+)","HXK1",0.5,1,18.34178543,18.4800281533333
"37","bhxk1-1","A",1,"(-)","FAD2",0.5,1,22.17988014,22.24554507
"38","bhxk1-1","A",2,"(-)","FAD2",0.5,1,22.2843647,22.24554507
"39","bhxk1-1","A",3,"(-)","FAD2",0.5,1,22.27239037,22.24554507
"40","bhxk1-1","B",1,"(-)","FAD2",0.5,1,22.84287834,22.8193168633333
"41","bhxk1-1","B",2,"(-)","FAD2",0.5,1,22.87228966,22.8193168633333
"42","bhxk1-1","B",3,"(-)","FAD2",0.5,1,22.74278259,22.8193168633333
"43","bhxk1-1","C",1,"(-)","FAD2",0.5,1,23.70439911,23.70269839
"44","bhxk1-1","C",2,"(-)","FAD2",0.5,1,23.68734169,23.70269839
"45","bhxk1-1","C",3,"(-)","FAD2",0.5,1,23.71635437,23.70269839
"46","bhxk1-1","A",1,"(+)","FAD2",0.5,1,24.75221634,24.7279485066667
"47","bhxk1-1","A",2,"(+)","FAD2",0.5,1,24.78004837,24.7279485066667
"48","bhxk1-1","A",3,"(+)","FAD2",0.5,1,24.65158081,24.7279485066667
"49","bhxk1-1","B",1,"(+)","FAD2",0.5,1,24.73501205,24.70049858
"50","bhxk1-1","B",2,"(+)","FAD2",0.5,1,24.69529152,24.70049858
"51","bhxk1-1","B",3,"(+)","FAD2",0.5,1,24.67119217,24.70049858
"52","bhxk1-1","C",1,"(+)","FAD2",0.5,1,25.43922615,25.4405206033333
"53","bhxk1-1","C",2,"(+)","FAD2",0.5,1,25.50414467,25.4405206033333
"54","bhxk1-1","C",3,"(+)","FAD2",0.5,1,25.37819099,25.4405206033333
"55","bhxk1-1","A",1,"(-)","GLK1",0.5,1,19.71197128,20.3122393266667
"56","bhxk1-1","A",2,"(-)","GLK1",0.5,1,19.79980278,20.3122393266667
"57","bhxk1-1","A",3,"(-)","GLK1",0.5,1,21.42494392,20.3122393266667
"58","bhxk1-1","B",1,"(-)","GLK1",0.5,1,20.96344566,20.6000150033333
"59","bhxk1-1","B",2,"(-)","GLK1",0.5,1,20.38362885,20.6000150033333
"60","bhxk1-1","B",3,"(-)","GLK1",0.5,1,20.4529705,20.6000150033333
"61","bhxk1-1","C",1,"(-)","GLK1",0.5,1,20.55725861,21.6056563066667
"62","bhxk1-1","C",2,"(-)","GLK1",0.5,1,22.30938721,21.6056563066667
"63","bhxk1-1","C",3,"(-)","GLK1",0.5,1,21.9503231,21.6056563066667
"64","bhxk1-1","A",1,"(+)","GLK1",0.5,1,20.56054878,20.8867835966667
"65","bhxk1-1","A",2,"(+)","GLK1",0.5,1,20.8083744,20.8867835966667
"66","bhxk1-1","A",3,"(+)","GLK1",0.5,1,21.29142761,20.8867835966667
"67","bhxk1-1","B",1,"(+)","GLK1",0.5,1,20.4833622,21.0965232866667
"68","bhxk1-1","B",2,"(+)","GLK1",0.5,1,21.35350418,21.0965232866667
"69","bhxk1-1","B",3,"(+)","GLK1",0.5,1,21.45270348,21.0965232866667
"70","bhxk1-1","C",1,"(+)","GLK1",0.5,1,20.87314987,21.2407023133333
"71","bhxk1-1","C",2,"(+)","GLK1",0.5,1,21.37016106,21.2407023133333
"72","bhxk1-1","C",3,"(+)","GLK1",0.5,1,21.47879601,21.2407023133333
"73","bhxk1-1","A",1,"(-)","GAP1",0.5,1,21.04000473,21.10194397
"74","bhxk1-1","A",2,"(-)","GAP1",0.5,1,21.12002945,21.10194397
"75","bhxk1-1","A",3,"(-)","GAP1",0.5,1,21.14579773,21.10194397
"76","bhxk1-1","B",1,"(-)","GAP1",0.5,1,21.80899239,21.8304259
"77","bhxk1-1","B",2,"(-)","GAP1",0.5,1,21.88165474,21.8304259
"78","bhxk1-1","B",3,"(-)","GAP1",0.5,1,21.80063057,21.8304259
"79","bhxk1-1","C",1,"(-)","GAP1",0.5,1,23.03927422,23.1149406466667
"80","bhxk1-1","C",2,"(-)","GAP1",0.5,1,22.91436005,23.1149406466667
"81","bhxk1-1","C",3,"(-)","GAP1",0.5,1,23.39118767,23.1149406466667
"82","bhxk1-1","A",1,"(+)","GAP1",0.5,1,20.9585228,21.02654775
"83","bhxk1-1","A",2,"(+)","GAP1",0.5,1,20.98392677,21.02654775
"84","bhxk1-1","A",3,"(+)","GAP1",0.5,1,21.13719368,21.02654775
"85","bhxk1-1","B",1,"(+)","GAP1",0.5,1,20.96525192,21.22236506
"86","bhxk1-1","B",2,"(+)","GAP1",0.5,1,20.94220924,21.22236506
"87","bhxk1-1","B",3,"(+)","GAP1",0.5,1,21.75963402,21.22236506
"88","bhxk1-1","C",1,"(+)","GAP1",0.5,1,21.92736244,21.96282768
"89","bhxk1-1","C",2,"(+)","GAP1",0.5,1,22.0353775,21.96282768
"90","bhxk1-1","C",3,"(+)","GAP1",0.5,1,21.9257431,21.96282768
"91","bhxk1-1","A",1,"(-)","BKT1",0.5,1,21.97855568,21.9920425433333
"92","bhxk1-1","A",2,"(-)","BKT1",0.5,1,21.97891045,21.9920425433333
"93","bhxk1-1","A",3,"(-)","BKT1",0.5,1,22.0186615,21.9920425433333
"94","bhxk1-1","B",1,"(-)","BKT1",0.5,1,22.31527519,22.3233585333333
"95","bhxk1-1","B",2,"(-)","BKT1",0.5,1,22.34111595,22.3233585333333
"96","bhxk1-1","B",3,"(-)","BKT1",0.5,1,22.31368446,22.3233585333333
"97","bhxk1-1","C",1,"(-)","BKT1",0.5,1,23.53739929,23.4214674633333
"98","bhxk1-1","C",2,"(-)","BKT1",0.5,1,23.33405113,23.4214674633333
"99","bhxk1-1","C",3,"(-)","BKT1",0.5,1,23.39295197,23.4214674633333
"100","bhxk1-1","A",1,"(+)","BKT1",0.5,1,22.72770119,22.7588825233333
"101","bhxk1-1","A",2,"(+)","BKT1",0.5,1,22.85460854,22.7588825233333
"102","bhxk1-1","A",3,"(+)","BKT1",0.5,1,22.69433784,22.7588825233333
"103","bhxk1-1","B",1,"(+)","BKT1",0.5,1,23.47845268,23.4198735533333
"104","bhxk1-1","B",2,"(+)","BKT1",0.5,1,23.37303543,23.4198735533333
"105","bhxk1-1","B",3,"(+)","BKT1",0.5,1,23.40813255,23.4198735533333
"106","bhxk1-1","C",1,"(+)","BKT1",0.5,1,24.47758293,24.4639269533333
"107","bhxk1-1","C",2,"(+)","BKT1",0.5,1,24.47387505,24.4639269533333
"108","bhxk1-1","C",3,"(+)","BKT1",0.5,1,24.44032288,24.4639269533333
"109","bhxk1-1","A",1,"(-)","PSAH",0.5,1,17.0672493,17.0418027233333
"110","bhxk1-1","A",2,"(-)","PSAH",0.5,1,17.05111885,17.0418027233333
"111","bhxk1-1","A",3,"(-)","PSAH",0.5,1,17.00704002,17.0418027233333
"112","bhxk1-1","B",1,"(-)","PSAH",0.5,1,17.99151039,17.9280153933333
"113","bhxk1-1","B",2,"(-)","PSAH",0.5,1,17.96020699,17.9280153933333
"114","bhxk1-1","B",3,"(-)","PSAH",0.5,1,17.8323288,17.9280153933333
"115","bhxk1-1","C",1,"(-)","PSAH",0.5,1,18.41959763,18.2950051633333
"116","bhxk1-1","C",2,"(-)","PSAH",0.5,1,18.17856598,18.2950051633333
"117","bhxk1-1","C",3,"(-)","PSAH",0.5,1,18.28685188,18.2950051633333
"118","bhxk1-1","A",1,"(+)","PSAH",0.5,1,18.06629944,18.0457464866667
"119","bhxk1-1","A",2,"(+)","PSAH",0.5,1,17.99394226,18.0457464866667
